fundo;data_referencia;net_worth;pv_credit_rights;pdd;total_cash;cash_idleness;net_allocation;threshold_net_allocation;status_net_allocation;subordination_senior;threshold_senior;status_senior;subordination_mezzanine_a;threshold_mezzanine_a;status_mezzanine_a;subordination_mezzanine_b;threshold_mezzanine_b;status_mezzanine_b;subordination_mezzanine_c;threshold_mezzanine_c;status_mezzanine_c;retorno_junior;threshold_junior_return;vl_dicred_aquis_mes;vl_som_prazo_venc;vl_som_inad_venc;CR_due_30;CR_due_31_60;CR_due_61_90;CR_due_91_120;CR_due_121_150;CR_due_151_180;CR_due_181_360;CR_due_maior_360;vl_inad_venc_30;vl_inad_venc_31_60;vl_inad_venc_61_90;vl_inad_venc_91_120;vl_inad_venc_121_150;vl_inad_venc_151_180;vl_inad_venc_181_360;vl_inad_venc_maior_360;cash;government_securities;sovereign_fund;other_assets;delinq_ratio_30;delinq_ratio_31_60;delinq_ratio_61_90;delinq_ratio_91_120;delinq_ratio_121_150;delinq_ratio_151_180;delinq_ratio_181_360;delinq_ratio_maior_360;subordination_mezzanine_d;subordination_mezzanine_e;subordination_mezzanine_f;subordination_mezzanine_g;subordination_mezzanine_h;total_cash;total_senior;total_subord_Junior;total_subord_Mezza_A;total_subord_Mezza_B;total_subord_Mezza_C;total_subord_Mezza_D;total_subord_Mezza_E;total_subord_Mezza_F;total_subord_Mezza_G;total_subord_Mezza_H;
FIDC Alume;31/07/2025;94080020.04;99570364.74;9148619.47;4259522.19;0.045275524;0.954724476;0.67;OK;0.352958125;0.3;OK;0.352958125;;N/A;0.352958125;;N/A;0.352958125;;N/A;3.17;0;7453474.39;93267424.71;6302940.03;3982194.11;4380271.41;4332628.29;4181748.81;4041515.38;3965994.72;22632558.85;45750513.14;1066659.86;623437.95;492472.06;409753.07;396974.66;331366.67;1476252.96;1506022.8;0;0;4062976.67;196545.52;0.010712624;0.00626128;0.00494597;0.004115211;0.003986876;0.003327965;0.014826228;0.015125211;0.352958125;0.352958125;0.352958125;0.352958125;0.352958125;4259522.19;60873712.59;33206307.45;0;0;0;0;0;0;0;0;
FIDC Capim;31/08/2024;70392247.93;68808945.33;5537824.84;7206774.17;0.102380225;0.897619775;0.67;OK;0.408191117;0.4;OK;0.257545074;0.25;OK;0.157311319;0.15;OK;0.157311319;;N/A;3.55;0;8508506.09;64675586.62;4133358.71;6593591.89;6467962.98;5983998.98;5476261.74;4957578.51;4466781.09;18169700.16;12559711.27;1006034.79;591419.98;472942.12;407633.58;347268.31;302036.81;934136.69;71886.43;1286.53;744965.65;6208049.04;252472.95;0.014620698;0.008595103;0.006873265;0.005924136;0.005046848;0.004389499;0.013575803;0.001044725;0.157311319;0.157311319;0.157311319;0.157311319;0.157311319;7206774.17;41658757.64;11073497.34;10604313.56;7055679.391;0;0;0;0;0;0;
FIDC Capim;30/09/2024;70583150.33;71811804.69;6279509.97;5129902.16;0.072678849;0.927321151;0.67;OK;0.410450013;0.4;OK;0.26028113;0.25;OK;0.160222873;0.15;OK;0.160222873;;N/A;2.13;0;8302332.71;67141066.6;4670738.09;6988681.78;6743377.45;6247825.59;5698310.23;5169915.62;4679847.66;18706863.77;12906244.5;1052560.27;642468.31;514100.38;442905.92;390276.25;338794.86;1131318.06;158314.04;1805.35;751630.57;4079652.27;296813.97;0.014657204;0.008946556;0.007158995;0.006167592;0.005434709;0.004717816;0.015753929;0.002204568;0.160222873;0.160222873;0.160222873;0.160222873;0.160222873;5129902.16;41612295.38;11309035.13;10599392.83;7062426.992;0;0;0;0;0;0;
FIDC Capim;31/10/2024;77101268.88;75806244.22;7072223.36;8506475.59;0.110328607;0.889671393;0.67;OK;0.405527191;0.4;OK;0.254141488;0.25;OK;0.153106699;0.15;OK;0.153106699;;N/A;1.26;0;9766230.39;70523258.46;5282985.76;7286582.12;7137966.21;6535291.43;6043042.57;5468427.83;4893103.84;19565133.91;13593710.55;1133170.24;680609.86;563105.97;485410.87;429412.38;382333.52;1347977.65;260965.27;1236.58;758952.89;7318052.83;428233.29;0.014948244;0.008978282;0.007428227;0.00640331;0.005664604;0.005043562;0.017781881;0.00344253;0.153106699;0.153106699;0.153106699;0.153106699;0.153106699;8506475.59;45834607.88;11804720.74;11672029.81;7789910.448;0;0;0;0;0;0;
FIDC Capim;30/11/2024;79336793.4;78336542.02;7904432.08;8993656.28;0.113360471;0.886639529;0.67;OK;0.404837797;0.4;OK;0.253259569;0.25;OK;0.151927338;0.15;OK;0.151927338;;N/A;0.18;0;8285235.73;72319227.23;6017314.79;7569919.58;7337553.78;6757872.15;6209299.75;5607698.98;5026795.04;19855435.62;13954652.33;1277051.52;745918.29;595419.02;531053.22;471449.69;421994.35;1621085.03;353343.67;1661.61;765379.33;8027512.27;199103.07;0.016302118;0.009521971;0.007600783;0.006779125;0.00601826;0.005386941;0.020693855;0.004510585;0.151927338;0.151927338;0.151927338;0.151927338;0.151927338;8993656.28;47218260.76;12053427.82;12025730.55;8039374.265;0;0;0;0;0;0;
FIDC Capim;31/12/2024;80983717.1;80732747.15;8751949.98;9532349.59;0.11770699;0.88229301;0.67;OK;0.406217194;0.4;OK;0.254929886;0.25;OK;0.153609806;0.15;OK;0.153609806;;N/A;3.21;0;8606822.88;73936719.51;6796027.64;7676843.63;7545971.76;6964745.35;6349340.65;5722898.12;5092768.61;20197691.93;14386459.46;1381039.7;819946.16;667157.96;570130.73;513409.92;462976.66;1829378.55;551987.96;187516.66;772116.49;8347212.22;225504.22;0.017106314;0.010156302;0.008263784;0.007061951;0.006359376;0.005734682;0.022659684;0.006837225;0.153609806;0.153609806;0.153609806;0.153609806;0.153609806;9532349.59;48086738.8;12439893.08;12251808.51;8205276.717;0;0;0;0;0;0;
FIDC Capim;31/01/2025;84155825.16;83032767.99;9690795.01;10899769.4;0.129518894;0.870481106;0.67;OK;0.405633846;0.4;OK;0.254172999;0.25;OK;0.152554116;0.15;OK;0.152554116;;N/A;0.69;0;8451800.41;75178993.72;7853774.27;7892295.12;7734253.17;7095582.77;6438242.5;5797735.27;5158446.44;20357105.77;14705332.68;1640769.91;978729.39;730393.86;623746.31;550522.92;500219.12;2062889.63;766503.13;813.4;780836.13;10000775.97;117343.9;0.019760511;0.011787267;0.008796453;0.00751205;0.006630189;0.006024358;0.024844284;0.009231333;0.152554116;0.152554116;0.152554116;0.152554116;0.152554116;10899769.4;50019374.15;12838317.51;12746312.54;8551820.966;0;0;0;0;0;0;
FIDC Capim;28/02/2025;86212031.58;85252629.89;10604396.39;11657562.02;0.135219665;0.864780335;0.67;OK;0.406109165;0.4;OK;0.254722793;0.25;OK;0.152994782;0.15;OK;0.152994782;;N/A;0.56;0;9165262.28;76828657.38;8423972.51;8236171.43;7870416.75;7235364.3;6546644.35;5876471.62;5201669.24;20990237.55;14871682.14;1641134.54;898410.31;770045.56;663519.06;606123.12;541324.52;2339214.18;964201.22;662.45;788676.18;10771125.21;97098.18;0.019250251;0.010538212;0.009032514;0.007782975;0.007109729;0.006349652;0.027438616;0.011309929;0.152994782;0.152994782;0.152994782;0.152994782;0.152994782;11657562.02;51200535.38;13189991.01;13051326.75;8770178.442;0;0;0;0;0;0;
FIDC Capim;31/03/2025;88618801.87;87305127.31;11435450.34;13724937.23;0.154876132;0.845123868;0.67;OK;0.407859453;0.4;OK;0.256886123;0.25;OK;0.155292287;0.15;OK;0.155292287;;N/A;0.57;0;8792908.38;78069973.67;9235153.64;8389647.13;8038215.09;7298886.7;6635887.01;5958199.5;5261246.05;21383751.19;15104141;1739402.18;1015308.97;777015.39;714447.72;647867.12;581154.45;2523662.75;1236295.06;3678.07;796232.28;11427514.83;1497512.05;0.019923253;0.011629431;0.008899997;0.008183342;0.007420722;0.00665659;0.028906238;0.014160624;0.155292287;0.155292287;0.155292287;0.155292287;0.155292287;13724937.23;52474785.84;13761816.37;13379075.63;9003124.032;0;0;0;0;0;0;
FIDC Capim;30/04/2025;91350867.58;90929027.37;12890681.04;13451746.7;0.147253628;0.852746372;0.67;OK;0.405730097;0.4;OK;0.254204165;0.25;OK;0.152098428;0.15;OK;0.152098428;;N/A;0.57;0;9574830.73;80348671.65;10580355.72;8641696.63;8220934.78;7536162.36;6816537.79;6076776.9;5462995.92;22067498.95;15526068.32;1947067.98;1273989.86;947802.02;759264.09;704663.85;641589.43;2757863.88;1548114.61;483.63;804480.6;11872081.89;774700.58;0.021413052;0.014010816;0.010423536;0.008350074;0.007749603;0.007055936;0.030329851;0.017025527;0.152098428;0.152098428;0.152098428;0.152098428;0.152098428;13451746.7;54287071.22;13894323.33;13842025.38;9327447.645;0;0;0;0;0;0;
FIDC Capim;31/05/2025;92755436.6;94693051.91;13874818.84;12027129.23;0.129664952;0.870335048;0.67;OK;0.407516034;0.4;OK;0.256363086;0.25;OK;0.154347354;0.15;OK;0.154347354;;N/A;3.04;0;11654974.31;83727085.06;10965966.85;8926747.06;8562753.53;7766486.16;7085263.45;6386921.14;5671173.19;23117089.14;16210651.39;1732564.91;1099950.6;942660.95;857717.95;752350.51;689174.57;3000512.79;1891034.57;1546.74;813910.86;10747411.37;464260.26;0.018296642;0.011615959;0.009954911;0.009057876;0.00794515;0.007277985;0.031686726;0.019970151;0.154347354;0.154347354;0.154347354;0.154347354;0.154347354;12027129.23;54956108.97;14316556.17;14020257.7;9462513.757;0;0;0;0;0;0;
FIDC Capim;30/06/2025;95529354.42;97634877.15;15042908.4;13025557.82;0.136351364;0.863648636;0.67;OK;0.408777809;0.4;OK;0.257916128;0.25;OK;0.15596346;0.15;OK;0.15596346;;N/A;4.07;0;9813454.12;85663657.38;11971219.77;9093080.99;8719966.97;8018505.59;7275630.56;6517539.59;5873147.64;23670743.39;16495042.65;1809193.77;1166042.14;985493.99;899556.95;843012.34;744291.83;3261732.52;2261896.23;1182.89;822985.38;11854013.49;347376.06;0.0185302;0.011942885;0.010093668;0.00921348;0.008634336;0.007623217;0.033407452;0.023166888;0.15596346;0.15596346;0.15596346;0.15596346;0.15596346;13025557.82;56479074.25;14899088.64;14411718.94;9739472.595;0;0;0;0;0;0;
